學校名稱,總派出數學任務數,總已完成數學任務數,整體數學完成率,平均數學正答率
縣立中正國中,0,0,0.00%,N/A
縣立上岐國小,0,0,0.00%,N/A
縣立中正國小,35,2,5.71%,26.00%
縣立何浦國小,0,0,0.00%,N/A
縣立卓環國小,0,0,0.00%,N/A
縣立古城國小,0,0,0.00%,N/A
縣立古寧國小,66,55,83.33%,73.00%
縣立多年國小,0,0,0.00%,N/A
縣立安瀾國小,0,0,0.00%,N/A
縣立柏村國小,0,0,0.00%,N/A
縣立正義國小,0,0,0.00%,N/A
縣立湖埔國小,0,0,0.00%,N/A
縣立烈嶼國中,0,0,0.00%,N/A
縣立西口國小,0,0,0.00%,N/A
縣立賢庵國小,50,49,98.00%,68.00%
縣立金寧國中,0,0,0.00%,N/A
縣立述美國小,0,0,0.00%,N/A
縣立金城國中,39,0,0.00%,N/A
縣立金寧國小,0,0,0.00%,N/A
縣立金沙國中,22,7,31.82%,68.00%
縣立金沙國小,0,0,0.00%,N/A
縣立金湖國中,0,0,0.00%,N/A
縣立金湖國小,106,62,58.49%,79.50%
縣立金鼎國小,0,0,0.00%,N/A
縣立開瑄國小,0,0,0.00%,N/A
縣立古城國小,0,0,0.00%,N/A
