學校名稱,總練習題目數,總測驗卷數,平均練習成績,總指派影片數,總自選影片數,累積總時數,學生人數,總平台使用量,平均每生練習題數,平均每生影片數,平均每生時數
烈嶼國中,485.0,48.0,1.6853932584269662,0.0,24.0,7682.0,89,557.0,5.449438202247191,0.2696629213483146,86.31460674157303
金寧國中,201.0,17.0,11.610468227424748,273.0,47.0,627138.0,299,538.0,0.6722408026755853,1.0702341137123745,2097.4515050167224
金湖國中,132.0,16.0,0.0,9.0,36.0,43513.0,427,193.0,0.3091334894613583,0.1053864168618267,101.903981264637
中正國小,101.0,10.0,3.7371323529411766,0.0,2.0,0.0,816,113.0,0.12377450980392157,0.0024509803921568627,0.0
金沙國中,80.0,11.0,0.0,0.0,7.0,13816.0,185,98.0,0.43243243243243246,0.03783783783783784,74.68108108108108
多年國小,0.0,0.0,17.74484375,74.0,4.0,174350.0,64,78.0,0.0,1.21875,2724.21875
湖埔國小,39.0,3.0,0.0,0.0,6.0,2280.0,102,48.0,0.38235294117647056,0.058823529411764705,22.352941176470587
金鼎國小,10.0,2.0,1.1270491803278688,0.0,7.0,292.0,244,19.0,0.040983606557377046,0.028688524590163935,1.1967213114754098
金城國中,0.0,0.0,0.0,0.0,1.0,0.0,876,1.0,0.0,0.001141552511415525,0.0
古城國小,0.0,0.0,0.0,0.0,0.0,0.0,70,0.0,0.0,0.0,0.0
開瑄國小,0.0,0.0,0.0,0.0,0.0,0.0,168,0.0,0.0,0.0,0.0
柏村國小,0.0,0.0,0.0,0.0,0.0,0.0,52,0.0,0.0,0.0,0.0
賢庵國小,0.0,0.0,0.0,0.0,0.0,0.0,146,0.0,0.0,0.0,0.0
金沙國小,0.0,0.0,0.0,0.0,0.0,0.0,120,0.0,0.0,0.0,0.0
何浦國小,0.0,0.0,0.0,0.0,0.0,0.0,52,0.0,0.0,0.0,0.0
安瀾國小,0.0,0.0,0.0,0.0,0.0,0.0,38,0.0,0.0,0.0,0.0
述美國小,0.0,0.0,0.0,0.0,0.0,0.0,32,0.0,0.0,0.0,0.0
古寧國小,0.0,0.0,0.0,0.0,0.0,0.0,42,0.0,0.0,0.0,0.0
金寧國小,0.0,0.0,0.0,0.0,0.0,0.0,87,0.0,0.0,0.0,0.0
卓環國小,0.0,0.0,0.0,0.0,0.0,0.0,78,0.0,0.0,0.0,0.0
上岐國小,0.0,0.0,0.0,0.0,0.0,0.0,42,0.0,0.0,0.0,0.0
金湖國小,0.0,0.0,0.0,0.0,0.0,0.0,394,0.0,0.0,0.0,0.0
正義國小,0.0,0.0,0.0,0.0,0.0,0.0,22,0.0,0.0,0.0,0.0
西口國小,0.0,0.0,0.0,0.0,0.0,0.0,42,0.0,0.0,0.0,0.0
賢安國小垵湖分校,0.0,0.0,0.0,0.0,0.0,0.0,20,0.0,0.0,0.0,0.0
