影片,國文,,,英語,,,數學,,,自然,,,社會,,,總計,,,,,,,
班級,派出任務數,已完成任務數,完成率,派出任務數,已完成任務數,完成率,派出任務數,已完成任務數,完成率,派出任務數,已完成任務數,完成率,派出任務數,已完成任務數,完成率,派出任務數,已完成任務數,完成率,影片總數,,,,
7年1班,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
7年2班,0,0,0,44,15,0.34,0,0,0,0,0,0,0,0,0,44,15,0.34,26,,,,
7年3班,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,,,,
7年3班,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,,,,
8年1班,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,,,,
8年2班,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,,,,
8年3班,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,,,,
8年4班,0,0,0,2,2,1,0,0,0,0,0,0,0,0,0,2,2,1,48,,,,
9年1班,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48,,,,
9年2班,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48,,,,
9年3班,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48,,,,
9年4班,0,0,0,3,1,0.33,0,0,0,0,0,0,0,0,0,3,1,0.33,54,,,,
,,,,,,,,,,,,,,,,,,,,,,,
測驗,國文,,,,英語,,,,數學,,,,自然,,,,社會,,,,總計,,
班級,派出任務數,已完成任務數,完成率,正答率,派出任務數,已完成任務數,完成率,正答率,派出任務數,已完成任務數,完成率,正答率,派出任務數,已完成任務數,完成率,正答率,派出任務數,已完成任務數,完成率,正答率,派出任務數,已完成任務數,完成率
7年1班,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7年2班,0,0,0,0,44,42,0.95,0.44,0,0,0,0,0,0,0,0,0,0,0,0,44,42,0.95
7年3班,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7年3班,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8年1班,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8年2班,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8年3班,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8年4班,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
9年1班,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9年2班,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9年3班,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9年4班,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
