影片,國文,,,英語,,,數學,,,自然,,,社會,,,總計,,,,,,,
班級,派出任務數,已完成任務數,完成率,派出任務數,已完成任務數,完成率,派出任務數,已完成任務數,完成率,派出任務數,已完成任務數,完成率,派出任務數,已完成任務數,完成率,派出任務數,已完成任務數,完成率,影片總數,,,,
2年1班,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
2年2班,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
4年1班,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
4年2班,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
4年3班,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
6年1班,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
6年2班,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
6年3班,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
1年1班,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
1年2班,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
3年1班,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
3年2班,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
3年3班,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
5年1班,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
5年2班,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
5年3班,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
,,,,,,,,,,,,,,,,,,,,,,,
測驗,國文,,,,英語,,,,數學,,,,自然,,,,社會,,,,總計,,
班級,派出任務數,已完成任務數,完成率,正答率,派出任務數,已完成任務數,完成率,正答率,派出任務數,已完成任務數,完成率,正答率,派出任務數,已完成任務數,完成率,正答率,派出任務數,已完成任務數,完成率,正答率,派出任務數,已完成任務數,完成率
2年1班,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2年2班,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4年1班,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4年2班,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4年3班,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6年1班,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6年2班,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6年3班,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1年1班,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1年2班,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3年1班,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,20,1,0.86,20,20,1
3年2班,0,0,0,0,0,0,0,0,11,2,0.18,0.26,0,0,0,0,0,0,0,0,11,2,0.18
3年3班,0,0,0,0,0,0,0,0,24,0,0,0,0,0,0,0,0,0,0,0,24,0,0
5年1班,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5年2班,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5年3班,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
