影片,國文,,,英語,,,數學,,,自然,,,社會,,,總計,,,,,,,
班級,派出任務數,已完成任務數,完成率,派出任務數,已完成任務數,完成率,派出任務數,已完成任務數,完成率,派出任務數,已完成任務數,完成率,派出任務數,已完成任務數,完成率,派出任務數,已完成任務數,完成率,影片總數,,,,
101,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
201,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
301,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
401,0,0,0,0,0,0,0,0,0,26,0,0,0,0,0,26,0,0,3,,,,
601,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,,,,
502,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,,,,
501,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,,,,
,,,,,,,,,,,,,,,,,,,,,,,
測驗,國文,,,,英語,,,,數學,,,,自然,,,,社會,,,,總計,,
班級,派出任務數,已完成任務數,完成率,正答率,派出任務數,已完成任務數,完成率,正答率,派出任務數,已完成任務數,完成率,正答率,派出任務數,已完成任務數,完成率,正答率,派出任務數,已完成任務數,完成率,正答率,派出任務數,已完成任務數,完成率
101,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
201,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
301,0,0,0,0,135,105,0.78,0.83,0,0,0,0,0,0,0,0,0,0,0,0,135,105,0.78
401,0,0,0,0,121,97,0.8,0.81,0,0,0,0,52,29,0.56,0.76,0,0,0,0,173,126,0.73
601,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
502,0,0,0,0,0,0,0,0,0,0,0,0,260,186,0.72,0.67,65,39,0.6,0.55,325,225,0.69
501,0,0,0,0,0,0,0,0,0,0,0,0,272,149,0.55,0.77,70,32,0.46,0.69,342,181,0.53
