影片,國文,,,英語,,,數學,,,自然,,,社會,,,總計,,,,,,,
班級,派出任務數,已完成任務數,完成率,派出任務數,已完成任務數,完成率,派出任務數,已完成任務數,完成率,派出任務數,已完成任務數,完成率,派出任務數,已完成任務數,完成率,派出任務數,已完成任務數,完成率,影片總數,,,,
二年一班,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
三年一班,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
六年一班,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
一年一班,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
,,,,,,,,,,,,,,,,,,,,,,,
測驗,國文,,,,英語,,,,數學,,,,自然,,,,社會,,,,總計,,
班級,派出任務數,已完成任務數,完成率,正答率,派出任務數,已完成任務數,完成率,正答率,派出任務數,已完成任務數,完成率,正答率,派出任務數,已完成任務數,完成率,正答率,派出任務數,已完成任務數,完成率,正答率,派出任務數,已完成任務數,完成率
二年一班,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
三年一班,237,221,0.93,0.76,0,0,0,0,6,6,1,0.67,0,0,0,0,0,0,0,0,243,227,0.93
六年一班,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
一年一班,120,87,0.72,0.67,0,0,0,0,60,49,0.82,0.79,0,0,0,0,0,0,0,0,180,136,0.76
