影片,國文,,,英語,,,數學,,,自然,,,社會,,,總計,,,,,,,
班級,派出任務數,已完成任務數,完成率,派出任務數,已完成任務數,完成率,派出任務數,已完成任務數,完成率,派出任務數,已完成任務數,完成率,派出任務數,已完成任務數,完成率,派出任務數,已完成任務數,完成率,影片總數,,,,
101,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
403,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
201,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
401,72,43,0.6,0,0,0,36,16,0.44,0,0,0,72,36,0.5,180,95,0.53,20,,,,
601,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,,,,
603,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,,,,
301,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,,,,
303,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,,,,
501,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,,,,
503,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,,,,
203,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,,,,
,,,,,,,,,,,,,,,,,,,,,,,
測驗,國文,,,,英語,,,,數學,,,,自然,,,,社會,,,,總計,,
班級,派出任務數,已完成任務數,完成率,正答率,派出任務數,已完成任務數,完成率,正答率,派出任務數,已完成任務數,完成率,正答率,派出任務數,已完成任務數,完成率,正答率,派出任務數,已完成任務數,完成率,正答率,派出任務數,已完成任務數,完成率
101,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
403,0,0,0,0,251,230,0.92,0.92,0,0,0,0,0,0,0,0,0,0,0,0,251,230,0.92
201,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
401,36,24,0.67,0.75,367,303,0.83,0.87,0,0,0,0,0,0,0,0,126,96,0.76,0.84,529,423,0.8
601,211,177,0.84,0.8,0,0,0,0,0,0,0,0,172,164,0.95,0.79,72,65,0.9,0.8,455,406,0.89
603,134,133,0.99,0.85,435,432,0.99,0.96,30,29,0.97,0.76,170,165,0.97,0.81,164,161,0.98,0.77,933,920,0.99
301,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
303,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
501,0,0,0,0,459,456,0.99,0.93,20,20,1,0.6,0,0,0,0,20,20,1,0.66,499,496,0.99
503,0,0,0,0,412,403,0.98,0.92,0,0,0,0,0,0,0,0,0,0,0,0,412,403,0.98
203,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
