影片,國文,,,英語,,,數學,,,自然,,,社會,,,總計,,,,,,,
班級,派出任務數,已完成任務數,完成率,派出任務數,已完成任務數,完成率,派出任務數,已完成任務數,完成率,派出任務數,已完成任務數,完成率,派出任務數,已完成任務數,完成率,派出任務數,已完成任務數,完成率,影片總數,,,,
三年甲班,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,6,,,,
四年甲班,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,,,,
五年甲班,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,,,,
六年甲班,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,,,,
一年甲班,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,,,,
二年甲班,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,,,,
,,,,,,,,,,,,,,,,,,,,,,,
測驗,國文,,,,英語,,,,數學,,,,自然,,,,社會,,,,總計,,
班級,派出任務數,已完成任務數,完成率,正答率,派出任務數,已完成任務數,完成率,正答率,派出任務數,已完成任務數,完成率,正答率,派出任務數,已完成任務數,完成率,正答率,派出任務數,已完成任務數,完成率,正答率,派出任務數,已完成任務數,完成率
三年甲班,0,0,0,0,0,0,0,0,0,0,0,0,22,21,0.95,0.71,0,0,0,0,22,21,0.95
四年甲班,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,48,0.96,0.63,50,48,0.96
五年甲班,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
六年甲班,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
一年甲班,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
二年甲班,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
