影片,國文,,,英語,,,數學,,,自然,,,社會,,,總計,,,,,,,
班級,派出任務數,已完成任務數,完成率,派出任務數,已完成任務數,完成率,派出任務數,已完成任務數,完成率,派出任務數,已完成任務數,完成率,派出任務數,已完成任務數,完成率,派出任務數,已完成任務數,完成率,影片總數,,,,
八01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
八09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
712,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
701,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
702,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
703,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
704,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
708,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
八01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
八03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
702,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
八02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
八12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
701,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
703,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
709,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
八09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
707,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
710,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
九06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
708,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
九08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
九04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
九07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
711,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
九09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
九05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
706,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
,,,,,,,,,,,,,,,,,,,,,,,
測驗,國文,,,,英語,,,,數學,,,,自然,,,,社會,,,,總計,,
班級,派出任務數,已完成任務數,完成率,正答率,派出任務數,已完成任務數,完成率,正答率,派出任務數,已完成任務數,完成率,正答率,派出任務數,已完成任務數,完成率,正答率,派出任務數,已完成任務數,完成率,正答率,派出任務數,已完成任務數,完成率
八01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
八09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
712,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,16,0,0
701,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
702,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
703,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
704,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
708,0,0,0,0,0,0,0,0,23,0,0,0,0,0,0,0,0,0,0,0,23,0,0
八01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
八03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
702,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
八02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
八12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
701,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
703,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
709,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
八09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
707,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
710,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
九06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
708,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
九08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
九04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
九07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
711,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
九09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
九05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
706,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
