影片,國文,,,英語,,,數學,,,自然,,,社會,,,總計,,,,,,,
班級,派出任務數,已完成任務數,完成率,派出任務數,已完成任務數,完成率,派出任務數,已完成任務數,完成率,派出任務數,已完成任務數,完成率,派出任務數,已完成任務數,完成率,派出任務數,已完成任務數,完成率,影片總數,,,,
七年一班,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
八年三班,0,0,0,0,0,0,0,0,0,23,18,0.78,0,0,0,23,18,0.78,50,,,,
七年三班,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,,,,
七年二班,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,,,,
八年二班,0,0,0,0,0,0,23,0,0,0,0,0,0,0,0,23,0,0,52,,,,
七年五班,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66,,,,
八年四班,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66,,,,
八年一班,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66,,,,
七年四班,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66,,,,
九年一班,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66,,,,
九年二班,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66,,,,
九年四班,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66,,,,
九年三班,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66,,,,
,,,,,,,,,,,,,,,,,,,,,,,
測驗,國文,,,,英語,,,,數學,,,,自然,,,,社會,,,,總計,,
班級,派出任務數,已完成任務數,完成率,正答率,派出任務數,已完成任務數,完成率,正答率,派出任務數,已完成任務數,完成率,正答率,派出任務數,已完成任務數,完成率,正答率,派出任務數,已完成任務數,完成率,正答率,派出任務數,已完成任務數,完成率
七年一班,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
八年三班,150,147,0.98,0.72,0,0,0,0,0,0,0,0,0,0,0,0,184,129,0.7,0.59,334,276,0.83
七年三班,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
七年二班,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
八年二班,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
七年五班,74,74,1,0.63,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,96,74,0.77
八年四班,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
八年一班,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
七年四班,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
九年一班,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
九年二班,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
九年四班,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
九年三班,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
