影片,國文,,,英語,,,數學,,,自然,,,社會,,,總計,,,,,,,
班級,派出任務數,已完成任務數,完成率,派出任務數,已完成任務數,完成率,派出任務數,已完成任務數,完成率,派出任務數,已完成任務數,完成率,派出任務數,已完成任務數,完成率,派出任務數,已完成任務數,完成率,影片總數,,,,
七年一班,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
八年二班,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
八年三班,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
八年一班,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
七年三班,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
七年二班,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
九年三班,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
九年二班,0,0,0,44,0,0,22,0,0,22,0,0,0,0,0,88,0,0,117,,,,
九年一班,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,117,,,,
,,,,,,,,,,,,,,,,,,,,,,,
測驗,國文,,,,英語,,,,數學,,,,自然,,,,社會,,,,總計,,
班級,派出任務數,已完成任務數,完成率,正答率,派出任務數,已完成任務數,完成率,正答率,派出任務數,已完成任務數,完成率,正答率,派出任務數,已完成任務數,完成率,正答率,派出任務數,已完成任務數,完成率,正答率,派出任務數,已完成任務數,完成率
七年一班,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42,23,0.55,0.62,42,23,0.55
八年二班,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,62,0.62,0.62,100,62,0.62
八年三班,171,109,0.64,0.65,0,0,0,0,0,0,0,0,38,11,0.29,0.47,95,67,0.71,0.68,304,187,0.62
八年一班,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,95,22,0.23,0.8,95,22,0.23
七年三班,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44,26,0.59,0.56,44,26,0.59
七年二班,0,0,0,0,22,21,0.95,0.66,0,0,0,0,44,40,0.91,0.5,72,47,0.65,0.64,138,108,0.78
九年三班,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
九年二班,242,170,0.7,0.77,44,8,0.18,0.4,22,7,0.32,0.68,22,2,0.09,0.24,132,20,0.15,0.39,462,207,0.45
九年一班,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
