影片,國文,,,英語,,,數學,,,自然,,,社會,,,總計,,,,,,,
班級,派出任務數,已完成任務數,完成率,派出任務數,已完成任務數,完成率,派出任務數,已完成任務數,完成率,派出任務數,已完成任務數,完成率,派出任務數,已完成任務數,完成率,派出任務數,已完成任務數,完成率,影片總數,,,,
704,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
903,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
905,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
701,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
702,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
901,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
904,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
803,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
804,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
906,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
902,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
806,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
703,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
802,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
805,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
801,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
,,,,,,,,,,,,,,,,,,,,,,,
測驗,國文,,,,英語,,,,數學,,,,自然,,,,社會,,,,總計,,
班級,派出任務數,已完成任務數,完成率,正答率,派出任務數,已完成任務數,完成率,正答率,派出任務數,已完成任務數,完成率,正答率,派出任務數,已完成任務數,完成率,正答率,派出任務數,已完成任務數,完成率,正答率,派出任務數,已完成任務數,完成率
704,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
903,0,0,0,0,0,0,0,0,0,0,0,0,22,0,0,0,0,0,0,0,22,0,0
905,0,0,0,0,0,0,0,0,0,0,0,0,23,0,0,0,0,0,0,0,23,0,0
701,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
702,0,0,0,0,104,96,0.92,0.63,0,0,0,0,0,0,0,0,0,0,0,0,104,96,0.92
901,0,0,0,0,44,22,0.5,0.57,0,0,0,0,0,0,0,0,0,0,0,0,44,22,0.5
904,0,0,0,0,44,34,0.77,0.59,0,0,0,0,0,0,0,0,0,0,0,0,44,34,0.77
803,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
804,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
906,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
902,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
806,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
703,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
802,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
805,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
801,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
