影片,國文,,,英語,,,數學,,,自然,,,社會,,,總計,,,,,,,
班級,派出任務數,已完成任務數,完成率,派出任務數,已完成任務數,完成率,派出任務數,已完成任務數,完成率,派出任務數,已完成任務數,完成率,派出任務數,已完成任務數,完成率,派出任務數,已完成任務數,完成率,影片總數,,,,
二年一班,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
二年二班,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
一年二班,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
一年三班,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
六年四班,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
六年三班,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
二年四班,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
二年三班,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
一年一班,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
四年四班,150,33,0.22,0,0,0,25,4,0.16,0,0,0,0,0,0,175,37,0.21,27,,,,
四年一班,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,,,,
四年二班,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,,,,
三年一班,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,,,,
四年三班,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,,,,
六年二班,0,0,0,0,0,0,0,0,0,0,0,0,52,0,0,52,0,0,29,,,,
三年二班,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,,,,
三年四班,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,,,,
三年三班,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,,,,
六年一班,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,,,,
五年四班,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,,,,
五年三班,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,,,,
五年二班,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,,,,
,,,,,,,,,,,,,,,,,,,,,,,
測驗,國文,,,,英語,,,,數學,,,,自然,,,,社會,,,,總計,,
班級,派出任務數,已完成任務數,完成率,正答率,派出任務數,已完成任務數,完成率,正答率,派出任務數,已完成任務數,完成率,正答率,派出任務數,已完成任務數,完成率,正答率,派出任務數,已完成任務數,完成率,正答率,派出任務數,已完成任務數,完成率
二年一班,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
二年二班,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
一年二班,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
一年三班,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
六年四班,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
六年三班,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
二年四班,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
二年三班,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
一年一班,28,6,0.21,0.78,0,0,0,0,28,2,0.07,0.82,0,0,0,0,0,0,0,0,56,8,0.14
四年四班,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
四年一班,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
四年二班,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
三年一班,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
四年三班,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
六年二班,0,0,0,0,0,0,0,0,78,60,0.77,0.77,0,0,0,0,78,75,0.96,0.78,156,135,0.87
三年二班,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
三年四班,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
三年三班,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,0,0
六年一班,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
五年四班,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
五年三班,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
五年二班,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
