影片,國文,,,英語,,,數學,,,自然,,,社會,,,總計,,,,,,,
班級,派出任務數,已完成任務數,完成率,派出任務數,已完成任務數,完成率,派出任務數,已完成任務數,完成率,派出任務數,已完成任務數,完成率,派出任務數,已完成任務數,完成率,派出任務數,已完成任務數,完成率,影片總數,,,,
六年二班,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
六年一班,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
四年一班,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
三年二班,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
四年二班,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
三年一班,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
二年一班,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
二年二班,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
一年一班,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
一年二班,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
五年二班,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
五年一班,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
,,,,,,,,,,,,,,,,,,,,,,,
測驗,國文,,,,英語,,,,數學,,,,自然,,,,社會,,,,總計,,
班級,派出任務數,已完成任務數,完成率,正答率,派出任務數,已完成任務數,完成率,正答率,派出任務數,已完成任務數,完成率,正答率,派出任務數,已完成任務數,完成率,正答率,派出任務數,已完成任務數,完成率,正答率,派出任務數,已完成任務數,完成率
六年二班,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
六年一班,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
四年一班,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
三年二班,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
四年二班,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
三年一班,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
二年一班,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
二年二班,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
一年一班,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
一年二班,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
五年二班,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
五年一班,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
